"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"VAIBHAVGBL","Vaibhav Global Limited","Nirmal Kumar Bardiya","26-MAR-2021 to 26-MAR-2021",,"50000","150581","Reg29(2)","01-Apr-2021, 13-38"
"GODREJCP","Godrej Consumer Products Limited","Ms Tanya Dubash","26-MAR-2021 to 26-MAR-2021","4",,"66","Reg29(1)","01-Apr-2021, 13-34"
"GODREJCP","Godrej Consumer Products Limited","Mr. Adi Godrej","26-MAR-2021 to 26-MAR-2021",,"12","1500","Reg29(2)","01-Apr-2021, 13-32"
"HATHWAY","Hathway Cable & Datacom Limited","Jio Internet Distribution Holdings Private Limited","26-MAR-2021 to 30-MAR-2021",,"31252959","269084886","Reg29(2)","01-Apr-2021, 13-32"
"HATHWAY","Hathway Cable & Datacom Limited","Jio Content Distribution Holdings Private Limited","26-MAR-2021 to 30-MAR-2021",,"77980247","671402207","Reg29(2)","01-Apr-2021, 13-32"
"HATHWAY","Hathway Cable & Datacom Limited","Jio Cable and Broadband Holdings Private Limited","26-MAR-2021 to 30-MAR-2021",,"23307309","200673607","Reg29(2)","01-Apr-2021, 13-32"
"DEN","Den Networks Limited","Jio Television Distribution Holdings Private Limited","26-MAR-2021 to 30-MAR-2021",,"12919189","73819315","Reg29(2)","01-Apr-2021, 13-30"
"DEN","Den Networks Limited","Jio Futuristic Digital Holdings Private Limited","26-MAR-2021 to 30-MAR-2021",,"30017287","171516614","Reg29(2)","01-Apr-2021, 13-30"
"DEN","Den Networks Limited","Jio Digital Distribution Holdings Private Limited","26-MAR-2021 to 30-MAR-2021",,"12548572","71701635","Reg29(2)","01-Apr-2021, 13-30"
"IBREALEST","Indiabulls Real Estate Limited","Powerscreen Media Private Limited along with PAC","26-MAR-2021 to 31-MAR-2021",,"7831969","54470382","Reg29(2)","01-Apr-2021, 09-34"
"IBREALEST","Indiabulls Real Estate Limited","SG Devbuild Private Limited along with PAC","26-MAR-2021 to 31-MAR-2021",,"7831969","54470382","Reg29(2)","01-Apr-2021, 09-34"
"IBREALEST","Indiabulls Real Estate Limited","Dahlia Infrastructure Private Limited along with PAC","26-MAR-2021 to 31-MAR-2021",,"7831969","54470382","Reg29(2)","01-Apr-2021, 09-34"
"ARCHIDPLY","Archidply Industries Limited","Assam Timber Products Pvt Ltd","30-MAR-2021 to 30-MAR-2021","140000",,"2255786","Reg29(2)","31-Mar-2021, 22-22"
"GHCL","GHCL Limited","Ram krishna Dalmia Foundation","30-MAR-2021 to 30-MAR-2021",,"20000","145000","Reg29(2)","31-Mar-2021, 22-22"
"MAHICKRA","Mahickra Chemicals Limited","Chintan Ashishkumar Gandhi","30-MAR-2021 to 30-MAR-2021","1500",,"78000","Reg29(2)","31-Mar-2021, 22-20"
"MAHICKRA","Mahickra Chemicals Limited","Ashishkumar Champaklal Gandhi","30-MAR-2021 to 30-MAR-2021","1500",,"1760123","Reg29(2)","31-Mar-2021, 22-20"
"MAHICKRA","Mahickra Chemicals Limited","Ashishkumar Champaklal Gandhi","30-MAR-2021 to 30-MAR-2021","1500",,"1758623","Reg29(2)","31-Mar-2021, 22-18"
"TCIDEVELOP","TCI Developers Limited","Transport Corporation of India Limited","30-MAR-2021 to 31-MAR-2021",,"100000","0","Reg29(2)","31-Mar-2021, 22-16"
"ARCHIDPLY","Archidply Industries Limited","Assam Timber Products Pvt Ltd","30-MAR-2021 to 30-MAR-2021","135158",,"2250944","Reg29(2)","31-Mar-2021, 22-12"
"ARCHIDPLY","Archidply Industries Limited","Rajiv Daga","30-MAR-2021 to 30-MAR-2021",,"135158","651342","Reg29(2)","31-Mar-2021, 22-08"
"GHCL","GHCL Limited","Neelabh Dalmia","30-MAR-2021 to 30-MAR-2021","20000",,"89500","Reg29(2)","31-Mar-2021, 22-08"
"KUANTUM","Kuantum Papers Limited","Pavan Khaitan","31-MAR-2021 to 31-MAR-2021","1203990",,"1472650","Reg29(2)","31-Mar-2021, 22-06"
"KUANTUM","Kuantum Papers Limited","Pavan Khaitan","31-MAR-2021 to 31-MAR-2021",,"1203990","1447580","Reg29(2)","31-Mar-2021, 22-00"
"KUANTUM","Kuantum Papers Limited","Pavan Khaitan","30-MAR-2021 to 30-MAR-2021","1203990",,"1472650","Reg29(2)","31-Mar-2021, 21-58"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited along with PAC","30-MAR-2021 to 30-MAR-2021","23975",,"24815795","Reg29(2)","31-Mar-2021, 20-30"
"VIPCLOTHNG","VIP Clothing Limited","Subhkam Properties LLP","30-MAR-2021 to 30-MAR-2021",,"6000000","0","Reg29(2)","31-Mar-2021, 20-30"
"PATINTLOG","Patel Integrated Logistics Limited","Asgar Patel  along with PAC","26-MAR-2021 to 26-MAR-2021","5609157",,"11394065","Reg29(2)","31-Mar-2021, 20-28"
"VIDHIING","Vidhi Specialty Food Ingredients Limited","Bipin Manek Family Private Trust","28-JAN-2021 to 28-JAN-2021","11500000",,"11500000","Reg29(1)","31-Mar-2021, 20-18"
"VIDHIING","Vidhi Specialty Food Ingredients Limited","Manek Family Private Trust","28-JAN-2021 to 28-JAN-2021","1500000",,"1500000","Reg29(1)","31-Mar-2021, 20-18"
"VIDHIING","Vidhi Specialty Food Ingredients Limited","Pravina  Manek Family Private Trust","28-JAN-2021 to 28-JAN-2021","13000000",,"13000000","Reg29(1)","31-Mar-2021, 20-18"
"BIRLATYRE","Birla Tyres Limited","Manav Investment & Trading Company Limited","30-MAR-2021 to 30-MAR-2021","954171",,"34913850","Reg29(2)","31-Mar-2021, 20-16"
"MACPOWER","Macpower CNC Machines Limited","Mrs Raxaben J Mehta","30-MAR-2021 to 30-MAR-2021","4767",,"396023","Reg29(2)","31-Mar-2021, 20-14"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","Agri Tech India Limited","04-JAN-2021 to 17-MAR-2021",,"177593","1317538","Reg29(2)","31-Mar-2021, 20-14"
"MACPOWER","Macpower CNC Machines Limited","Mrs. Raxaben J Mehta","30-MAR-2021 to 30-MAR-2021","4767",,"396023","Reg29(1)","31-Mar-2021, 20-12"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Overseas Private Limited","30-MAR-2021 to 30-MAR-2021","50000",,"50000","Reg29(2)","31-Mar-2021, 20-10"
"SUPERSPIN","Super Spinning Mills Limited","Super Farm Products P Ltd along with PAC","30-MAR-2021 to 30-MAR-2021","80000",,"23451234","Reg29(2)","31-Mar-2021, 20-06"
"NOCIL","NOCIL Limited","Hrishikesh A. Mafatlal along with PAC","30-MAR-2021 to 30-MAR-2021","0",,"56391184","Reg29(2)","31-Mar-2021, 20-04"
"NOCIL","NOCIL Limited","Hrishikesh A. Mafatlal along with PAC","30-MAR-2021 to 30-MAR-2021","0",,"56391184","Reg29(1)","31-Mar-2021, 19-56"
"NCLIND","NCL Industries Limited","Kalidindi Ravi","30-MAR-2021 to 30-MAR-2021","19430",,"2608912","Reg29(2)","31-Mar-2021, 19-54"
"NCLIND","NCL Industries Limited","Kalidindi Ravi","25-MAR-2021 to 25-MAR-2021","5070",,"2589482","Reg29(2)","31-Mar-2021, 19-54"
"NOCIL","NOCIL Limited","Hrishkesh A. Mafatlal as a Trustee of Gurukripa Trust along with PAC","30-MAR-2021 to 30-MAR-2021","0",,"5639184","Reg29(2)","31-Mar-2021, 19-52"
"WABCOINDIA","WABCO India Limited","SBI Mutual Fund under its Various Scheme","30-MAR-2021 to 30-MAR-2021",,"401859","1334876","Reg29(2)","31-Mar-2021, 19-52"
"NOCIL","NOCIL Limited","Hrishkesh A. Mafatlal as a Trustee of Gurukripa Trust along with PAC","30-MAR-2021 to 30-MAR-2021","0",,"56391184","Reg29(1)","31-Mar-2021, 19-50"
"UNITEDPOLY","United Polyfab Gujarat Limited","Mr Gagan Nirmal Kumar Mittal and Mrs Shilpa Gagan Mittal along with PAC","26-MAR-2021 to 26-MAR-2021","153000",,"7505550","Reg29(2)","31-Mar-2021, 19-32"
"VIPCLOTHNG","VIP Clothing Limited","Maxwell Capital Management Private Limited","30-MAR-2021 to 30-MAR-2021","20000",,"50000","Reg29(1)","31-Mar-2021, 19-32"
"VARROC","Varroc Engineering Limited","Nippon Life India Trustee Limited","26-MAR-2021 to 26-MAR-2021","5655539",,"8820316","Reg29(1)","31-Mar-2021, 19-14"
"BHARATWIRE","Bharat Wire Ropes Limited","Murarilal Mittal alongwith Promoters and PACs","30-MAR-2021 to 30-MAR-2021","11363636",,"29504254","Reg29(1)","31-Mar-2021, 18-44"
"BHARATWIRE","Bharat Wire Ropes Limited","Murarilal Mittal alongwith Promoters and PACs","30-MAR-2021 to 30-MAR-2021","11363636",,"29504254","Reg29(2)","31-Mar-2021, 18-44"
"BIRLATYRE","Birla Tyres Limited","Birla Education Trust","30-MAR-2021 to 30-MAR-2021",,"954171","0","Reg29(2)","31-Mar-2021, 18-42"
"LUPIN","Lupin Limited","HDFC Mutual Fund","26-MAR-2021 to 26-MAR-2021","379100",,"22717953","Reg29(1)","31-Mar-2021, 18-40"
"MFSL","Max Financial Services Limited","IDBI Trusteeship Services Limited","31-MAR-2021 to 31-MAR-2021",,"5533037","1567327","Reg29(2)","31-Mar-2021, 18-38"
"MOREPENLAB","Morepen Laboratories Limited","Liquid Holdings Private Limited along with PACs","26-MAR-2021 to 26-MAR-2021","35000000",,"225371588","Reg29(2)","31-Mar-2021, 18-38"
"NOCIL","NOCIL Limited","Priyavrata H. Mafatlal","30-MAR-2021 to 30-MAR-2021","439",,"12495","Reg29(2)","31-Mar-2021, 18-34"
"SIGIND","Signet Industries Limited","Mukesh Sangla","30-MAR-2021 to 30-MAR-2021","30600",,"915686","Reg29(2)","31-Mar-2021, 18-34"
"MAHICKRA","Mahickra Chemicals Limited","Champaklal K.Gandhi huf","30-MAR-2021 to 30-MAR-2021","1500",,"34500","Reg29(2)","31-Mar-2021, 18-32"
"SIGIND","Signet Industries Limited","Mukesh Sangla","30-MAR-2021 to 30-MAR-2021","30600",,"915686","Reg29(2)","31-Mar-2021, 18-32"
"TCIDEVELOP","TCI Developers Limited","Transport Corporation of India Limited","30-MAR-2021 to 31-MAR-2021",,"100000","0","Reg29(2)","31-Mar-2021, 18-32"
"ZUARIGLOB","Zuari Global Limited","Adventz Finance Private Limited","30-MAR-2021 to 30-MAR-2021","10000",,"2483772","Reg29(2)","31-Mar-2021, 18-24"
"APCOTEXIND","Apcotex Industries Limited","Mazda Colours Limited along with PAC","26-MAR-2021 to 26-MAR-2021","12000",,"30123617","Reg29(1)","31-Mar-2021, 16-14"
"APCOTEXIND","Apcotex Industries Limited","Mazda Colours Limited along with PAC","26-MAR-2021 to 26-MAR-2021","12000",,"12000","Reg29(2)","31-Mar-2021, 16-02"
"WELSPUNIND","Welspun India Limited","Balkrishan Goenka,Trustee of Welspun Group Master Trust","30-MAR-2021 to 30-MAR-2021","4100000",,"71409526","Reg29(2)","31-Mar-2021, 15-58"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited,","26-MAR-2021 to 26-MAR-2021","40000",,"9583500","Reg29(2)","31-Mar-2021, 15-56"
"MOTOGENFIN","The Motor & General Finance Limited","Ram Prakash and Co P Limited","26-MAR-2021 to 26-MAR-2021","12522",,"1695569","Reg29(2)","31-Mar-2021, 15-56"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","30-MAR-2021 to 30-MAR-2021","3822",,"2459583","Reg29(2)","31-Mar-2021, 15-54"
"BYKE","The Byke Hospitality Ltd","Anil Patodia","30-MAR-2021 to 30-MAR-2021","690000",,"2671446","Reg29(2)","31-Mar-2021, 15-44"
"BYKE","The Byke Hospitality Ltd","Kamal Poddar","30-MAR-2021 to 30-MAR-2021",,"350000","0","Reg29(2)","31-Mar-2021, 15-42"
"BYKE","The Byke Hospitality Ltd","Hemlata Poddar","30-MAR-2021 to 30-MAR-2021",,"340000","0","Reg29(2)","31-Mar-2021, 15-42"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","26-MAR-2021 to 26-MAR-2021","3204",,"2455761","Reg29(2)","31-Mar-2021, 12-00"
"TIRUPATI","Shree Tirupati Balajee FIBC Limited","Jagannath Plastics Private Limited alongwith PACs","26-MAR-2021 to 26-MAR-2021","96000",,"6952164","Reg29(1)","31-Mar-2021, 12-00"
"TIRUPATI","Shree Tirupati Balajee FIBC Limited","Shree Tirupati Balajee Agro Trading Company Private Limited alongwith PACs","26-MAR-2021 to 26-MAR-2021","96000",,"6952164","Reg29(1)","31-Mar-2021, 12-00"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","30-MAR-2021 to 30-MAR-2021","5029",,"149281","Reg29(2)","31-Mar-2021, 11-56"
"ARVINDFASN","Arvind Fashions Limited","Aura Securities Private Limited  along with PAC","25-MAR-2021 to 25-MAR-2021","7238160",,"45856855","Reg29(2)","31-Mar-2021, 11-56"
"CALSOFT","California Software Company Limited","CHEMOIL ADVANCED MANAGEMENT SERVICES PVT LTD","26-MAR-2021 to 26-MAR-2021",,"500000","1771675","Reg29(2)","31-Mar-2021, 11-56"
"IBREALEST","Indiabulls Real Estate Limited","SG Infralands Private Limited along with PAC","22-MAR-2021 to 25-MAR-2021",,"9464833","62302351","Reg29(2)","31-Mar-2021, 11-56"
"IBREALEST","Indiabulls Real Estate Limited","Powerscreen Media Private Limited along with PAC","22-MAR-2021 to 25-MAR-2021",,"9464833","62302351","Reg29(2)","31-Mar-2021, 11-56"
"IBREALEST","Indiabulls Real Estate Limited","Dahlia Infrastructure Private Limited along with PAC","22-MAR-2021 to 25-MAR-2021",,"9464833","62302351","Reg29(2)","31-Mar-2021, 11-56"
"SANDHAR","Sandhar Technologies Limited","Mr Jayant Davar","30-MAR-2021 to 30-MAR-2021","3000",,"31324517","Reg29(2)","31-Mar-2021, 11-56"
"WSI","W S Industries (I) Limited","Narayan Sethuramon","30-MAR-2021 to 30-MAR-2021","150150",,"460051","Reg29(2)","31-Mar-2021, 11-56"
"BEARDSELL","Beardsell Limited","Bharat Anumolu","17-MAR-2021 to 26-MAR-2021",,"38440","3802917","Reg29(2)","30-Mar-2021, 23-08"
"PUNJABCHEM","Punjab Chemicals & Crop Protection Limited","NERKA CHEMICALS PRIVATE LIMITED","26-MAR-2021 to 26-MAR-2021","3000000",,"3000000","Reg29(1)","30-Mar-2021, 23-06"
"BANCOINDIA","Banco Products (I) Limited","Pritty V. Patel","30-MAR-2021 to 30-MAR-2021","129387",,"129387","Reg29(2)","30-Mar-2021, 23-04"
"BANCOINDIA","Banco Products (I) Limited","Monal S. Patel,","30-MAR-2021 to 30-MAR-2021","129387",,"1312193","Reg29(2)","30-Mar-2021, 23-04"
"BANCOINDIA","Banco Products (I) Limited","Hasumati K Patel","30-MAR-2021 to 30-MAR-2021",,"388161","1479387","Reg29(2)","30-Mar-2021, 23-04"
"BANCOINDIA","Banco Products (I) Limited","Gayatri M. Patel","30-MAR-2021 to 30-MAR-2021","129387",,"1331765","Reg29(2)","30-Mar-2021, 23-04"
"MAHICKRA","Mahickra Chemicals Limited","Komal Miteshkumar Gandhi","26-MAR-2021 to 26-MAR-2021","1500",,"899113","Reg29(2)","30-Mar-2021, 23-02"
"MAHICKRA","Mahickra Chemicals Limited","Komal Miteshkumar Gandhi","26-MAR-2021 to 26-MAR-2021","1500",,"900613","Reg29(2)","30-Mar-2021, 23-02"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","26-MAR-2021 to 26-MAR-2021","2720",,"144252","Reg29(2)","30-Mar-2021, 23-00"
"GMRINFRA","GMR Infrastructure Limited","Vistra ITCL (India) Limited","17-MAR-2021 to 25-MAR-2021",,"125388000","878566333","Reg29(2)","30-Mar-2021, 23-00"
"CYBERMEDIA","Cyber Media (India) Limited","Dhaval Gupta","27-MAR-2021 to 27-MAR-2021","1000000",,"1922697","Reg29(2)","30-Mar-2021, 20-10"
"CYBERMEDIA","Cyber Media (India) Limited","Pradeep Gupta","27-MAR-2021 to 27-MAR-2021","1800000",,"6461236","Reg29(2)","30-Mar-2021, 20-10"
"TTL","T T Limited","Sanjay Kumar Jain","24-MAR-2021 to 26-MAR-2021","6251",,"542757","Reg29(2)","30-Mar-2021, 20-10"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshkumar Gandhi","26-MAR-2021 to 26-MAR-2021","1500",,"69000","Reg29(2)","30-Mar-2021, 20-08"
"RGL","Renaissance Global Limited","Reena Ahuja along with PAC","26-MAR-2021 to 26-MAR-2021","47201",,"268000","Reg29(1)","30-Mar-2021, 20-08"
"LUPIN","Lupin Limited","Life Insurance Corportion of India","26-MAR-2021 to 26-MAR-2021","148600",,"22820824","Reg29(1)","30-Mar-2021, 20-06"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshkumar Gandhi","26-MAR-2021 to 26-MAR-2021","1500",,"67500","Reg29(2)","30-Mar-2021, 20-06"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited","26-MAR-2021 to 26-MAR-2021","25332",,"24791820","Reg29(2)","30-Mar-2021, 11-30"
"HCG","Healthcare Global Enterprises Limited","Aceso Company Pte. Ltd.","26-MAR-2021 to 26-MAR-2021","4683177",,"67305110","Reg29(2)","30-Mar-2021, 11-30"
"HCG","Healthcare Global Enterprises Limited","Aceso Company Pte. Ltd.","26-MAR-2021 to 26-MAR-2021","0",,"11503468","Reg29(2)","30-Mar-2021, 11-30"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshkumar Gandhi","25-MAR-2021 to 25-MAR-2021","1500",,"66000","Reg29(2)","30-Mar-2021, 11-30"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C. Gandhi (HUF)","23-MAR-2021 to 23-MAR-2021","1500",,"51000","Reg29(2)","30-Mar-2021, 11-30"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C. Gandhi (HUF)","10-MAR-2021 to 10-MAR-2021","1500",,"48000","Reg29(2)","30-Mar-2021, 11-30"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C. Gandhi (HUF)","22-MAR-2021 to 22-MAR-2021","1500",,"49500","Reg29(2)","30-Mar-2021, 11-30"
"PASHUPATI","Pashupati Cotspin Limited","Shree Pashupati Fabric LLP","26-MAR-2021 to 26-MAR-2021","17600",,"486400","Reg29(2)","30-Mar-2021, 11-30"
"RML","Rane (Madras) Limited","Rane Holding Limited along with PAC","29-MAR-2021 to 29-MAR-2021",,,"10115997","Reg29(2)","30-Mar-2021, 11-30"
"RML","Rane (Madras) Limited","Rane Holding Limited along with PAC","29-MAR-2021 to 29-MAR-2021",,,"1699958","Reg29(2)","30-Mar-2021, 11-30"
"SHRENIK","Shrenik Limited","Kaivan Vimawala","25-MAR-2021 to 26-MAR-2021",,"584209","13345551","Reg29(2)","30-Mar-2021, 11-30"
"SHRENIK","Shrenik Limited","Rishit Vimawala","24-MAR-2021 to 24-MAR-2021",,"1500000","16031259","Reg29(2)","30-Mar-2021, 11-30"
"SHRENIK","Shrenik Limited","Kaivan Vimawala","24-MAR-2021 to 24-MAR-2021",,"470707","13929760","Reg29(2)","30-Mar-2021, 11-30"
"UMESLTD","Usha Martin Education & Solutions Limited","Peterhouse Investments Limited and other promoters as PAC","26-MAR-2021 to 26-MAR-2021",,"175000","1763291","Reg29(2)","30-Mar-2021, 11-30"
"ZUARIGLOB","Zuari Global Limited","Adventz Finance Private Limited","26-MAR-2021 to 26-MAR-2021","4281",,"2473772","Reg29(2)","30-Mar-2021, 11-30"
"TATASTEEL","Tata Steel Limited","Tata Motors Finance Ltd","24-MAR-2021 to 24-MAR-2021","39233",,"609421","Reg29(2)","30-Mar-2021, 09-16"
"TATASTEEL","Tata Steel Limited","Tata Motors Limited","24-MAR-2021 to 24-MAR-2021","354599",,"5496295","Reg29(2)","30-Mar-2021, 09-16"
"TATASTEEL","Tata Steel Limited","Tata Chemicals Ltd","24-MAR-2021 to 24-MAR-2021","199358",,"3090051","Reg29(2)","30-Mar-2021, 09-16"
"TATASTEEL","Tata Steel Limited","Titan Company Ltd","24-MAR-2021 to 24-MAR-2021","162",,"2511","Reg29(2)","30-Mar-2021, 09-16"
"TATASTEEL","Tata Steel Limited","Tata Investment Corporation Ltd","24-MAR-2021 to 24-MAR-2021","270869",,"4197609","Reg29(2)","30-Mar-2021, 09-16"
"TATASTEEL","Tata Steel Limited","Tata Industries Ltd","24-MAR-2021 to 24-MAR-2021","103187",,"1042545","Reg29(2)","30-Mar-2021, 09-16"
"TATASTEEL","Tata Steel Limited","Tata Capital Limited","24-MAR-2021 to 24-MAR-2021","1080",,"16740","Reg29(2)","30-Mar-2021, 09-16"
"TATASTEEL","Tata Steel Limited","Tata Sons Private Ltd","24-MAR-2021 to 24-MAR-2021","53365867",,"396508108","Reg29(2)","30-Mar-2021, 09-16"
"TATASTEEL","Tata Steel Limited","Ewart Investments Limited","24-MAR-2021 to 24-MAR-2021","143611",,"2225975","Reg29(2)","30-Mar-2021, 09-16"
"BHARATWIRE","Bharat Wire Ropes Limited","IDBI Trusteeship Services Limited","24-MAR-2021 to 24-MAR-2021",,,"12086232","Reg29(1)","30-Mar-2021, 08-54"
"MOHITIND","Mohit Industries Limited","MADHU NARAYAN SABOO","25-MAR-2021 to 25-MAR-2021",,"50","621878","Reg29(2)","30-Mar-2021, 08-54"
"ARROWGREEN","Arrow Greentech Limited","Arrow Convertors Pvt. Ltd.","24-MAR-2021 to 24-MAR-2021","0",,"996014","Reg29(2)","30-Mar-2021, 08-52"
"ARROWGREEN","Arrow Greentech Limited","Manisha Sindhi Immediate Relative of Director","24-MAR-2021 to 24-MAR-2021","10000",,"10000","Reg29(2)","30-Mar-2021, 08-52"
"ARROWGREEN","Arrow Greentech Limited","Shilpan Pravin Patel","24-MAR-2021 to 24-MAR-2021","0",,"4966346","Reg29(2)","30-Mar-2021, 08-52"
"ARROWGREEN","Arrow Greentech Limited","Jigisha Shilpan Patel","24-MAR-2021 to 24-MAR-2021","0",,"1822205","Reg29(2)","30-Mar-2021, 08-52"
"ARROWGREEN","Arrow Greentech Limited","Shilpan Patel HUF","24-MAR-2021 to 24-MAR-2021",,"50000","1029180","Reg29(2)","30-Mar-2021, 08-52"
"ARROWGREEN","Arrow Greentech Limited","Neil S Patel","24-MAR-2021 to 24-MAR-2021","15000",,"539810","Reg29(2)","30-Mar-2021, 08-52"
"ARROWGREEN","Arrow Greentech Limited","Rishil S Patel","24-MAR-2021 to 24-MAR-2021","25000",,"547000","Reg29(2)","30-Mar-2021, 08-52"
"CHALET","Chalet Hotels Limited","Genext Hardware & Parks Private Limited","25-MAR-2021 to 25-MAR-2021",,"7200000","800000","Reg29(2)","30-Mar-2021, 08-52"
"CHALET","Chalet Hotels Limited","Palm Shelter Estate Development LLP","25-MAR-2021 to 25-MAR-2021","7200000",,"7692387","Reg29(1)","30-Mar-2021, 08-52"
"CHALET","Chalet Hotels Limited","Palm Shelter Estate Development LLP","25-MAR-2021 to 25-MAR-2021","7200000",,"7692387","Reg29(2)","30-Mar-2021, 08-52"
"KHANDSE","Khandwala Securities Limited","Paresh J  Khandwala","24-MAR-2021 to 26-MAR-2021","2591",,"179815","Reg29(2)","30-Mar-2021, 08-52"
"MINDAIND","Minda Industries Limited","Minda Investment Ltd","26-MAR-2021 to 26-MAR-2021","330000",,"66944957","Reg29(2)","30-Mar-2021, 08-52"
"MINDAIND","Minda Industries Limited","Nirmal Kr Minda","26-MAR-2021 to 26-MAR-2021",,"330000","67062700","Reg29(2)","30-Mar-2021, 08-52"
"MOREPENLAB","Morepen Laboratories Limited","Sushil Suri For and on behalf of Acquirers alongwith PACs","25-MAR-2021 to 25-MAR-2021","35000000",,"190371588","Reg29(2)","30-Mar-2021, 08-52"
"RVNL","Rail Vikas Nigam Limited","President of India Ministry  of Railways  Government  of India","24-MAR-2021 to 25-MAR-2021",,"200933926","1630628894","Reg29(2)","30-Mar-2021, 08-52"
"RVNL","Rail Vikas Nigam Limited","Life Insurance Corporation of India","24-MAR-2021 to 24-MAR-2021","181818180",,"181818180","Reg29(1)","30-Mar-2021, 08-52"
"SAFARI","Safari Industries (India) Limited","Investcorp Private Equity Fund II","25-MAR-2021 to 25-MAR-2021","1315790",,"1315790","Reg29(1)","30-Mar-2021, 08-52"
"MINDAIND","Minda Industries Limited","Minda Investment Ltd","26-MAR-2021 to 26-MAR-2021","330000",,"66944957","Reg29(1)","30-Mar-2021, 08-50"
"CALSOFT","California Software Company Limited","Chemoil Advanced Management Services Pvt Ltd","24-MAR-2021 to 24-MAR-2021",,"390000","2271675","Reg29(2)","30-Mar-2021, 08-32"
"DSSL","Dynacons Systems & Solutions Limited","Trigem Infosolutions Limited","26-MAR-2021 to 26-MAR-2021","1600000",,"3520000","Reg29(2)","30-Mar-2021, 08-32"
"DSSL","Dynacons Systems & Solutions Limited","Trigem Infosolutions Limited","26-MAR-2021 to 26-MAR-2021","0",,"4234984","Reg29(2)","30-Mar-2021, 08-32"
"MACPOWER","Macpower CNC Machines Limited","Raxaben J. Mehta","26-MAR-2021 to 26-MAR-2021","200",,"391256","Reg29(1)","30-Mar-2021, 08-32"
"MACPOWER","Macpower CNC Machines Limited","Riyaben R. Mehta","26-MAR-2021 to 26-MAR-2021","150",,"1814982","Reg29(1)","30-Mar-2021, 08-32"
